name,mid_lat,mid_lng,crime_rate_normalised,lighting_score,crime_source
Blackie Road,55.968773,-3.157344,0.6,0.7,neighbourhood
Blackwood Crescent,55.938453,-3.180347,0.2,0.7,neighbourhood
Blair Street,55.949261,-3.187636,0.75,0.6,neighbourhood
Blair's Close,55.948789,-3.196044,0.7,0.45,neighbourhood
Blandfield,55.966129,-3.187761,0.3,0.6503,neighbourhood
Blantyre Terrace,55.934219,-3.212755,0.15,0.7,neighbourhood
Blenheim Place,55.957497,-3.182862,0.45,0.7,neighbourhood
Boat Green,55.963683,-3.198198,0.3,0.6906,neighbourhood
Bonnington Road,55.96951,-3.182651,0.6,0.8116,neighbourhood
Boroughloch,55.941833,-3.184511,0.25,0.7,neighbourhood
Boroughloch Square,55.941706,-3.184256,0.25,0.55,neighbourhood
Borthwick Place,55.944745,-3.227804,0.35,0.7,neighbourhood
Borthwick's Close,55.949452,-3.189391,0.75,0.45,neighbourhood
Boswell's Court,55.948865,-3.195554,0.7,0.5,neighbourhood
Bothwell Street,55.960532,-3.169241,0.45,0.7,neighbourhood
Bowmont Place,55.9441,-3.180036,0.75,0.7,neighbourhood
Boyd's Entry,55.950039,-3.183443,0.75,0.55,neighbourhood
Boys Brigade Walk,55.940988,-3.188896,0.25,0.5,neighbourhood
Brandfield Street,55.943312,-3.212302,0.4,0.7,neighbourhood
Brandon Street,55.961249,-3.201326,0.3,0.8,neighbourhood
Bread Street,55.945822,-3.203608,0.68,0.8,neighbourhood
Bread Street Lane,55.945419,-3.204482,0.68,0.55,neighbourhood
Bridge Place,55.96057,-3.210828,0.12,0.7,neighbourhood
Briery Bauks,55.946408,-3.180699,0.75,0.6762,neighbourhood
Bright's Crescent,55.932494,-3.17528,0.2,0.7,neighbourhood
Brighton Street,55.946402,-3.189133,0.75,0.7,neighbourhood
Bristo Place,55.946173,-3.190072,0.75,0.8,neighbourhood
Bristo Port,55.946564,-3.190309,0.75,0.55,neighbourhood
Brodie's Close,55.949295,-3.193185,0.7,0.5,neighbourhood
Broughton Market,55.957797,-3.193067,0.3,0.55,neighbourhood
Broughton Place,55.958682,-3.188434,0.3,0.7,neighbourhood
Broughton Place Lane,55.959332,-3.188636,0.3,0.7,neighbourhood
Broughton Road,55.965563,-3.190558,0.3,0.85,neighbourhood
Broughton Street,55.957693,-3.188959,0.3,0.8335,neighbourhood
Broughton Street Lane,55.957441,-3.186974,0.45,0.6435,neighbourhood
